0.3	10	0.792	-0.006
0.3	20	0.77	0.002
0.3	30	0.747	0.044
0.6	10	1.12	0
0.6	20	1.09	-0.008
0.6	30	0.99	0.076
0.9	10	1.14	0.017
0.9	20	1.09	0.033
0.9	30	1.02	0.05
1	10	1.34	0.014
1	20	1.33	0.025
1	30	1.27	0.092
1.3	10	1.51	-0.006
1.3	20	1.48	0.04
1.3	30	1.36	0.209
1.5	10	1.6	0.008
1.5	20	1.52	0.088
1.5	30	1.37	0.25
2	10	1.57	0.022
2	20	1.48	0.108
2	30	1.33	0.228
3	10	1.53	0.05
3	20	1.43	0.105
3	30	1.26	0.186
4	10	1.5	0.048
4	20	1.41	0.101
4	30	1.23	0.166
6	10	1.5	0.042
6	20	1.39	0.094
6	30	1.2	0.152
10	10	1.47	0.041
10	20	1.37	0.09
10	30	1.19	0.144
